0x1f615	ਕਿਹੜਾ,
0x1f382	ਜਨਮ-ਦਿਨ,ਕੇਕ,
0x1f430	ਮੂੰਹ,ਪਾਲਤੂ ਜਾਨਵਰ,ਖ਼ਰਗੋਸ਼,
0x1f479	ਜੀਉ,
0x1f46f	ਖ਼ਰਗੋਸ਼,
0x1f46c	ਮਰਦ,ਗੇਅ,
0x1f646	ਠੀਕ,ਠੀਕ,ਹਾਂ,
0x1f451	ਰਾਜਾ,ਸੋਨਾ,ਤਾਜ,
0x1f333	ਟ੍ਰੀ,ਵਣ,
0x1f60b	ਮਜ਼ੇਦਾਰ,ਮਜ਼ੇਦਾਰ,
0x26c4	ਬਰਫ਼ ਦਾ ਆਦਮੀ,
0x1f613	ਪਸ਼ੇਮਾਨ,ਉਪਰਾਮ,
0x2705	ਇਸ਼ਾਰਾ,ਪੁਸ਼ਟੀ ਕਰੋ,
0x1f384	ਕ੍ਰਿਸਮਸ,ਜਸ਼ਨ,ਟ੍ਰੀ,
0x1f318	ਚੰਦ,
0x1f339	ਗੁਲਾਬ,
0x1f4f1	ਸੈਲ,
0x1f44e	ਤਲੇ,ਬੁਰਾ,
0x1f551	ਘੜੀ,ਦੋ,
0x1f631	ਚੀਕ,
0x1f31b	ਮੂੰਹ,ਚੰਦ,ਅਸਥਾਨ,
0x1f47b	ਜੀਉ,ਮੂੰਹ,ਪਰੀ ਕਥਾ,ਕਲਪਨਾ-ਕਥਾ,
0x1f481	ਕੁਮਕ,ਖਬਰ,ਇਧਰ,
0x1f61a	ਸੰਗ,
0x1f534	ਚੱਕਰ,ਲਾਲ,
0x1f4a7	ਠਂਡਾ,ਕੌਮਿਕਸ,ਟੇਪਾ,ਮੁੜ੍ਹਕਾ,
0x1f4d3	ਕਾਪੀ,
0x1f612	ਨੀਰਸ,ਸੁਸਤ,
0x1f64c	ਜਸ਼ਨ,ਠੇਲ੍ਹਾ,
0x23f0	ਘੜੀ,
0x1f307	ਝਲਕ,ਗਲੋ,
0x1f695	ਵਾਹਨ,
0x1f478	ਬੇਗਮ,ਰਾਣੀ,
0x2754	ਇਸ਼ਾਰਾ,ਵਿਸਰਾਮ,ਸਵਾਲ,
0x1f637	ਡਾਕਟਰ,ਨਕਾਬ,ਦਵਾ,ਡੱਡੂ,ਇਨਫਲੂਐਨਜ਼ਾ,ਬਿਮਾਰ,
0x1f412	ਬੰਦਰ,
0x1f48b	ਲਾਲਚ,
0x1f467	ਕੁੜੀ,
0x1f452	ਕੱਪੜਾ,ਟੋਪੀ,ਅਬਲਾ,
0x1f469	ਅਬਲਾ,ਔਰਤ,
0x1f337	ਪਿਆਰ,
0x1f303	ਰਾਤ,ਚੰਦ,ਸ਼ਹਿਰ,
0x1f648	ਪਾਪ,ਵਰਜਿਤ,ਸੰਕੇਤ,ਬੰਦਰ,ਨਾ,ਨਿਖੇਧੀ,ਅੰਨ੍ਹਾ,ਚਮ੍ਮ,
0x1f49b	ਪੀਲਾ,
0x1f48c	ਖਤ,ਡਾਕ,
0x1f627	ਤਸੀਹੇ,ਕਿਉਂ,
0x1f3e8	ਇਮਾਰਤ,
0x1f30e	ਅਮਰੀਕਾ,ਪੱਛਮ,
0x1f4ad	ਸੋਚਿਆ,
0x274e	ਇਸ਼ਾਰਾ,ਵਰਗ,
0x1f45c	ਖੀਸਾ,
0x1f4da	ਅਧਿਐਨ,
0x1f3e2	ਇਮਾਰਤ,
0x1f381	ਡੱਬਾ,ਪੈਕੇਜ,
0x1f45a	ਕੱਪੜਾ,ਅਬਲਾ,
0x1f465	ਬਸਟ (ਮੂਰਤੀ),
0x1f6b6	ਚਲਣਾ,ਗਸ਼ਤ,
0x1f4db	ਬਿਲ੍ਲਾ,ਨਾਂ,
0x1f605	ਠਂਡਾ,ਮੁੜ੍ਹਕਾ,ਕੋਝਾ,ਗਾਹ,
0x1f453	ਚਸ਼ਮਾ,
0x1f630	ਨੀਲਾ,ਘਬਰਾਇਆ,
0x1f35d	ਪਾਸਤਾ,
0x1f3a4	ਕਲੌਂਤ,
0x1f4f9	ਕੈਮਰਾ,
0x1f620	ਕਰੋਧ,
0x1f353	ਮਿੱਠੇ,
0x1f42f	ਮੂੰਹ,ਸ਼ੇਰ,
0x1f494	ਤਲਾਕ,
0x1f62a	ਸੌਣਾ,
0x1f490	ਫੁੱਲ,ਗੁਲਦਸਤਾ,
0x1f63e	ਬਿੱਲੀ,ਮੂੰਹ,
0x1f4b7	ਬੈਂਕ,ਬਿੱਲ,ਮੁਦਰਾ,ਪੈਸਾ,ਨੋਟ,ਪੌਂਡ,
0x1f33a	ਫੁੱਲ,
0x1f44a	ਹਿੱਟ,
0x1f338	ਫੁਲ੍ਲ,ਚੈਰੀ,ਬਸੰਤ,
0x1f4b8	ਮਕ੍ਖੀ,
0x1f625	ਘਬਰਾਹਟ,
0x1f48d	ਹੀਰਾਡ,ਰਿੰਗ,ਮਣੀ,ਸਹਾਇਕ,ਰਤਨ,
0x1f60c	ਅਰਾਮ,
0x1f619	ਕੂਕ,ਚੋਟ,
0x263a	ਮਤਵਾਲਾ,
0x1f610	ਨਹੀਂ,
0x1f623	ਦਰਦ,ਦਰਦ,ਚੋਟ,
0x1f62b	ਹਟਕੋਰਾ,ਤਸ਼ੱਦਦ,ਉਦਾਸ,ਡਰਾਉਣਾ,
0x1f616	ਡਰਾਉਣਾ,
0x1f61e	ਚਿੰਤਾ,ਹਨੇਰਾ,
0x1f61f	ਹੈਰਾਨ,ਚਿੰਤਾ,ਭਰਮ,
0x1f624	ਜੈ,ਗ਼ੈਰਤ,
0x1f628	ਡਰ,ਦਹਿਸ਼ਤ ਨਾਕ,ਗੰਦੇ,
0x1f608	ਦੁਸ਼ਟ,
0x1f47f	ਭੂਤ,ਸ਼ੈਤਾਨ,ਉਗਰ,
0x1f480	ਮੌਤ,ਚਟਾਨ,ਪਿੰਜਰ,
0x1f47d	ਪਰਦੇਸੀ,
0x1f4a9	ਕੌਮਿਕਸ,ਫੋਸ,ਖਾਦ,
0x1f63d	ਸੀਟੀ ਮਾਰਨਾ,
0x1f649	ਉਚ੍ਚਾ,
0x1f64a	ਬੋਲਣਾ,ਅਛੋਪਲੇ,
0x1f476	ਜਵਾਨ,
0x1f46e	ਪੁਲਿਸਮੈਨ,ਅਫਸਰ,ਪੁਲਿਸ,ਸਿਪਾਹੀ,
0x1f482	ਪਹਿਰਾ,
0x1f645	ਹਸਤ,ਕਭੀ ਨਹੀਂ,
0x1f64b	ਸਤ ਸ੍ਰੀ ਅਕਾਲ,ਨਮਸਕਾਰ,ਮੇਰੀ,
0x1f487	ਨਾਈ,ਅਦਾ,
0x1f3c3	ਦੌੜ,ਡੈਸ਼,ਬਚੋ,
0x1f464	ਬਸਟ (ਮੂਰਤੀ),ਪ੍ਰੋਫਾਈਲ,
0x1f3c4	ਬੀਚ,
0x1f6a3	ਨਾਉ,ਟੇਕ,
0x1f3ca	ਤਰਾਈ,ਡੁਮ੍ਹ,ਲੇਜ਼ਰ,ਸਮੁੰਦਰ,
0x1f46d	ਲੈਸਬੀਅਨ,
0x1f46a	ਪਰਿਵਾਰ,ਪਰਵਾਰ,
0x261d	ਉਤਾਂਹ,ਅਸਮਾਨ,ਇੱਕ,
0x270c	ਜੈ,ਕੈਂਚੀ,ਟੁਕਰ,ਦੋ,
0x1f44b	ਛੱਲ,
0x1f450	ਖ਼ਾਲੀ,
0x1f485	ਗ਼ਮ,ਨਹੁੰ,ਪੋਲਿਸ਼,
0x1f463	ਕੱਪੜਾ,ਕਦਮ,
0x1f498	ਤੀਰ,ਕਿਊਪਿਡ,ਈਰੋਸ,
0x1f493	ਕੁਟਾਈ,
0x1f496	ਚਮਕ,ਝਮਕ,
0x1f497	ਨਾੜ,ਪੌਂਡ,ਉਨਸ,
0x1f49a	ਹਰਾ,ਨਫ਼ਾਸਤ,
0x1f49c	ਬਹਾਦਰ,
0x1f49d	ਰੀਬੋਨ,ਤੋਹਫ਼ੇ,ਅਜੋਕਾ,
0x1f49f	ਸੰਕਟ,
0x1f4a3	ਬਰੂਦ,
0x1f4a5	ਧਮਾਕਾ,
0x1f4a8	ਫੂ,ਦੌਰ,
0x1f4ab	ਤਾਰਾ,ਚਕ੍ਕਰ,
0x1f4ac	ਫ਼ਲੂਸ,ਬੁਲਬੁਲਾ,ਉਕਤੀ,
0x1f454	ਜੋੜ,ਕਮੀਜ਼,ਦਫ਼ਤਰ,ਟਾਈ,
0x1f457	ਕਪੜਾ,
0x1f459	ਗਰਮੀ,
0x1f45f	ਜੁੱਤੀ,
0x1f460	ਖੁਰੀ,
0x1f3a9	ਟੋਪੀ,ਚੋਟੀ,ਕੈਪ,
0x1f484	ਲਿਪਸਟਿਕ,
0x1f436	ਕੁੱਤਾ,ਪਾਲਤੂ ਜਾਨਵਰ,ਲੂੰਬੜ,
0x1f431	ਸ਼ੇਰ,
0x1f437	ਸੂਰ,ਚੋਬਰ,
0x1f43c	ਚੀਨ,
0x1f426	ਪੰਖੀ,ਤੋਤਾ,
0x1f438	ਡੱਡੂ,
0x1f433	ਥਣਧਾਰੀ,
0x1f41f	ਮੱਛੀ,ਪਾਣੀ,
0x1f33b	ਸੂਰਜਮੁਖੀ,
0x1f33c	ਜਗ,ਗਭਰੂ,
0x1f334	ਖੋਪਾ,
0x1f335	ਪੌਦਾ,ਕਾਂਟਾ,ਕੈਪਟਸ,ਮਾਰੂਥਲ,
0x1f33e	ਕੰਨ,ਅਨਾਜ,ਚਾਵਲ,ਵਾਢੀ,ਫਾਰਮ,ਜਉ,ਕਣਕ,
0x1f33f	ਪੱਤਾ,ਜੜ੍ਹੀ-ਬੂਟੀ,
0x1f343	ਫੜਫੜਾਹਟ,ਹਵਾ,ਇਕੱਲੇ,ਤੇਜ ਹਵਾ,
0x1f349	ਫਲ,ਹਦਵਾਣਾ,
0x1f34c	ਕੇਲਾ,
0x1f34d	ਅਨਾਨਾਸ,
0x1f34e	ਸਿਓ,
0x1f351	ਆੜੂ,ਧੀ,
0x1f352	ਮਹਿੰਗਾ,
0x1f357	ਹੱਡੀ,ਡਰਾਕਲ,ਲੱਤ,ਗੋਸ਼ਤ,
0x1f354	ਹੈਂਬਰਗਰ,
0x1f35f	ਆਲੂ,
0x1f355	ਪਨੀਰ,ਟੁਕੜਾ,ਪਿਜ਼ਾ,ਭੋਜਨ,
0x1f364	ਪ੍ਰੌਨ,
0x1f366	ਸਾਰ,ਮਿਠਿਆਈ,ਬਰਫ਼,ਨਰਮ,
0x1f369	ਰੋਟੀ,
0x1f370	ਸ਼ੋਰਟਕੇਕ,
0x1f36b	ਬਾਰ,ਚਾਕਲੇਟ,
0x1f37c	ਬੋਤਲ,ਪੀ,ਦੁੱਧ,
0x2615	ਕਾਫ਼ੀ,ਗਰਮ,ਚਾਹ,ਜਾਵਾ,
0x1f377	ਕੱਚ,ਦਾਰੂ,
0x1f378	ਮਾਲਦੀਵ,ਮੋਹੀਤੋ,
0x1f37a	ਬੀਅਰ,ਮੂੰਹ,ਰਿਛ,
0x1f37b	ਟੋਸਟ,ਪਾਰਟੀ,
0x1f374	ਚਾਕੂ,ਸਟੀਕ,ਖਾ,
0x1f52a	ਟੂਲ,ਹਥਿਆਰ,ਮਾਰ ਸੁੱਟਣਾ,
0x1f30d	ਅਫ਼ਰੀਕਾ,ਯੂਰਪ,ਧਰਤੀ,ਗੋਲਾ,ਦੁਨੀਆ,ਗਲੋਬਲ,
0x1f3e0	ਘਰ,ਮਕਾਨ,ਅਰਾਮ,
0x1f3e1	ਬਾਗ,
0x1f305	ਸਵੇਰ,ਰੁਖ,ਸੂਰਜ ਚੜ੍ਹੇ,
0x1f306	ਸਂਧਿਆ,ਆਥਣ,ਭੂ ਦ੍ਰਿਸ਼,ਆਥਣ,ਕਾਲਾ,ਉਦੇ,
0x1f309	ਪੁਲ,
0x1f30c	ਅਕਾਸ਼,ਅਕਾਸ਼ਗੰਗਾ,
0x1f3ad	ਕਲਾ,ਥੀਏਟਰ,ਰਂਗਸ਼ਾਲਾ,ਗੁਮਨਾਮ,
0x1f3a8	ਅਜਾਇਬਘਰ,ਤਸਵੀਰ,ਰੰਗ,ਤਸਵੀਰ,ਪੇਂਟ,
0x1f697	ਕਾਰ,
0x1f698	ਕਾਰ,
0x1f6b2	ਸਾਈਕਲ,ਚੜ੍ਹਤ,
0x26fd	ਬਾਲਣ,ਟਿਕਾਣਾ,
0x1f6a8	ਰੋਸ਼ਨੀ,ਖਤਰਾ,ਗ਼ਲਤ,
0x2693	ਜਹਾਜ਼,ਪੋਰਟ,ਲੰਗਰ,
0x26f5	ਪਾਲ,
0x1f6a2	ਮੁਸਾਫ਼ਰ,
0x2708	ਹਵਾਈ ਜਹਾਜ਼,ਯਾਤਰਾ,
0x1f680	ਰਾਕਟ,
0x1f311	ਕਾਲਾ,ਹਨੇਰਾ,ਗ੍ਰਹਿਣ,
0x2600	ਧੁੱਪ,
0x1f31f	ਸ਼ੁੱਕਰ,ਚਮਕ,ਚਮਕ,ਇਸ਼ਤਿਹਾਰ,
0x1f320	ਗੂੜ੍ਹਾ,ਪਸਾਰ,
0x2601	ਮੌਸਮ,ਬੱਦਲ,ਬਲੂਰ,
0x1f300	ਝੱਖਡ਼,ਝੱਖਡ਼,ਤੂਫ਼ਾਨ,ਝੱਖਡ਼,
0x1f308	ਬਾਰਸ਼,ਪੀਂਘ,ਰੰਗ ਦ੍ਰਿਸ਼,ਛਤਰੀ,
0x26a1	ਬਿਜਲੀ,ਬਿਜਲੀ,ਚਿਣਗ,ਗਰਜ,
0x1f525	ਅੱਗ,ਦਾਹ,ਜਵਾਲਾ,ਅੱਗ,
0x1f30a	ਮਹਾਂਸਾਗਰ,ਸੁਨਾਮੀ,
0x1f386	ਆਤਿਸ਼ਬਾਜ਼ੀ,
0x1f388	ਉਥਾਨ,
0x1f3c6	ਇਨਾਮ,
0x26bd	ਫੁਟਬਾਲ,
0x26be	ਬੇਸਬਾਲ,
0x1f3c0	ਬਾਸਕਟਬਾਲ,
0x1f3c8	ਰਗਬੀ ਫੁੱਟਬਾਲ,
0x1f3b2	ਗੀਟੀ,ਸ਼ਿਕਾਰ,ਮਾਰਬਲ,
0x2665	ਗਤ੍ਤਾ,
0x1f50a	ਹੁਜਮ,ਵਕਤਾ,ਧੁਨੀ,
0x1f514	ਘੰਟਾ,
0x1f3bc	ਗਾਨਾ ਬਜਾਨਾ,ਸਕੋਰ,ਨੋਟ,
0x1f3a7	ਹੈੱਡਸੈਟ,
0x1f3b8	ਔਜ਼ਾਰ,ਨਾਟਕ,ਗਿਟਾਰ,
0x260e	ਧੁਨੀ,ਤਲਬੀ,ਟੈਲੀਫ਼ੋਨ,
0x1f4bf	ਕੰਪਿਊਟਰ,ਡਿਸਕ,ਬਚਾਣਾ,
0x1f3a5	ਕੈਮਰਾ,ਫਿਲਮ,
0x1f4f7	ਤਸਵੀਰ,ਪ੍ਰਤਿਮਾ,
0x1f4a1	ਗਲੋਮਰ,
0x1f4d6	ਪੁਸਤਕ,ਬੁੱਕਮਾਰਕ,ਸ਼ਬਦਕੋਸ਼,
0x1f4b0	ਬੈਗ,ਡਾਲਰ,ਬੈਂਕ,
0x1f4b5	ਬਿੱਲ,ਮੁਦਰਾ,ਉਜਰਤ,
0x2702	ਕਟਾਈ,ਕਾਟ,ਸੰਪਾਦਨ,
0x1f513	ਤਾਲਾ,
0x1f510	ਕੁੰਜੀ,ਸੁਰਖਿਅਤ,ਸੁਰਖਿਆ,ਗਫ਼,
0x1f511	ਪਛਾਣ-ਸ਼ਬਦ,ਕਦਰ,
0x1f489	ਸੂਈ,ਖ਼ੂਨ,
0x1f48a	ਗੋਲੀ,
0x1f6ac	ਸਮੋਕਿੰਗ,ਧੂੰ,
0x1f52e	ਬਲੌਰ,ਕਿਸਮਤ,ਭਵਿੱਸ਼,ਡੈਚ,
0x1f6ae	ਜੂਠ,
0x1f6ab	ਆਉਂਦ,ਮਨਾਹੀ,
0x27a1	ਮੂਖੀ,ਤਰਫ਼,ਪੂਰਬ,ਦੂਸਰਾ,ਜਾਣਾ,
0x264a	ਨਛੱਤਰ,ਦੂਸਰਾ,
0x264c	ਸ਼ੇਰ,
0x25b6	ਤਿਕੋਣ,ਖਿਡਾਰੀ,
0x203c	ਵਿਸਰਾਮ,
0x2049	ਸਵਾਲ,
0x1f51f	ਦਸ,
0x1f4af	ਪੁਰ,ਸੌ,ਟੈਸਟ,ਕ੍ਰਮ,
0x1f170	ਇਕ,
0x1f193	ਮੁਫ਼ਤ,ਆਜ਼ਾਦੀ,
0x24c2	ਚੱਕਰ,ਗਸ਼ਤੀ,
0x1f195	ਨਵਾਂ,
0x1f17f	ਉਪਬਨ,
0x1f199	ਖੁਸ਼ੀ,ਉਲਾਂਘ,
0x25ab	ਵਰਗ,
0x26aa	ਗੋਰਾ,ਬਰਫ਼,
0x1f535	ਜੁਰਮਾਨਾ,
0x1f1fa,0x1f1f8	ਅਮਰੀਕਾ,
0x1f923	ਤਹਿ,
0x1f62f	ਹੈਰਾਨ,
0x1f912	ਥਰਮਾਮੀਟਰ,
0x1f915	ਸੱਟ,
0x1f922	ਉਛਾਲੀ,
0x1f927	ਛਿੱਕ,
0x1f925	ਕੂੜ,
0x2620	ਖੋਪਰੀ,
0x1f916	ਰੋਬੋਟ,
0x1f468,0x200d,0x1f393	ਵਿਦਿਆਰਥੀ,
0x1f468,0x200d,0x1f3eb	ਅਧਿਆਪਕ,ਅਧਿਆਪਕ,
0x1f468,0x200d,0x2696,0xfe0f	ਅਦਲ,ਤਰਾਜੂ,
0x1f469,0x200d,0x2696,0xfe0f	ਜੱਜ,
0x1f468,0x200d,0x1f33e	ਕਿਸਾਨ,ਅਰਾਈਂ,
0x1f468,0x200d,0x1f373	ਕੁੱਕ,
0x1f468,0x200d,0x1f527	ਬਿਜਲੀ ਮਿਸਤਰੀ,ਕਾਰੀਗਰ,
0x1f468,0x200d,0x1f3ed	ਜਮਘਟਾ,ਕਰਿੰਦਾ,
0x1f468,0x200d,0x1f4bc	ਵਾਸਤੁਕਾਰ,ਕਾਜ,ਨਿਜ਼ਾਮ,
0x1f468,0x200d,0x1f52c	ਜੀਵ ਵਿਗਿਆਨੀ,ਇਂਜੀਨੀਅਰ,ਹਿਸਾਬਦਾਨ,ਵਿਗਿਆਨੀ,
0x1f468,0x200d,0x1f4bb	ਸਾਫ਼ਟਵੇਅਰ,
0x1f468,0x200d,0x1f3a4	ਅਭਿਨੇਤਾ,
0x1f468,0x200d,0x1f3a8	ਕਲਾਕਾਰ,
0x1f468,0x200d,0x2708,0xfe0f	ਉਡਾਰੂ,ਤਲ,
0x1f468,0x200d,0x1f680	ਪੁਲਾੜੀ ਹਵਾਬਾਜ਼,
0x1f468,0x200d,0x1f692	damakal,
0x1f575	ਭੇਤੀ,
0x1f477	ਉਸਾਰੀ,
0x1f934	ਕੌਰ,
0x1f471	ਗੋਲਾ,
0x1f935	ਲਾੜੇ,
0x1f930	गर्भिणी,
0x1f936	ਮਾਂ,
0x1f937	ਭਰਮ,ਅਗਿਆਨ,
0x1f6c0	ਇਸ਼ਨਾਨ,
0x1f6cc	ਹੋਟਲ,
0x1f5e3	ਸਿਰ,
0x1f93a	ਫੈਨਸਿੰਗ,ਤਲਵਾਰ,
0x1f3c7	ਘੋੜਾ,
0x1f3cc	ਗੌਲਫ਼,
0x1f3cb	ਭਾਰ,
0x1f6b5	ਪਰਬਤ,
0x1f938	ਜਿਮਨਾਸਟਿਕ,
0x1f93c	ਭਲਵਾਨ,
0x1f93d	ਪੋਲੋ,
0x1f93e	ਹੈਂਡਬਾਲ,
0x1f939	ਬਾਕੀ,ਹੁਨਰ,
0x1f933	ਸੈਲਫ਼ੀ,
0x1f91e	ਆਡਾ,ਕਿਸਮਤ,
0x270d	ਲਿਖਣਾ,
0x1f91d	ਸਮਝੌਤਾ,ਬੈਠਕ,ਝਟਕ,
0x1f441,0xfe0f,0x200d,0x1f5e8,0xfe0f	ਉਗਾਹ,
0x1f573	ਛਿਦ੍ਦਰ,
0x1f45b	ਸਿਕ੍ਕਾ,
0x1f45d	ਥੈਲੀ,
0x1f392	ਬਸਤਾ,ਮਦਰੱਸਾ,
0x1f462	ਬੂਟ,
0x26d1	ਸਹਾਇਤਾ,
0x1f4ff	ਹਾਰ,ਦੀਨ,
0x1f43a	ਭੇੜੀਆ,
0x1f406	ਚੀਤਾ,
0x1f984	ਇਕਸਿੰਗਾ,
0x1f98c	ਹਿਰਨ,
0x1f42e	ਗਊ,
0x1f402	ਬਲਦ,
0x1f403	ਮੱਝ,
0x1f43d	ਨੱਕ,
0x1f40f	ਪੁਰਖ,ਭੇਡ,
0x1f411	ਮਾਦਾ,
0x1f42a	ਊਠ,
0x1f42b	ਊਠ,
0x1f418	ਹਾਥੀ,
0x1f98f	ਗੈਂਡਾ,
0x1f42d	ਚੂਹਾ,
0x1f400	ਚੂਹਾ,
0x1f987	ਬਲ੍ਲਾ,ਪਿਸ਼ਾਚ,
0x1f983	ਟਰਕੀ,
0x1f54a	ਅਮਨ,
0x1f985	ਉਕਾਬ,
0x1f986	ਬਤਖ਼,
0x1f989	ਚੂਹੇਮਾਰ,ਉਸ਼ਨਾਕ,
0x1f422	ਕੱਛੂਕੁੰਮਾ,
0x1f98e	ਕਿਰਲੀ,ਸੱਪ,
0x1f40d	ਸੱਪ,
0x1f432	ਅਜਗਰ,
0x1f988	ਸ਼ਾਰਕ,
0x1f419	ਤੰਦੂਆ,
0x1f41a	ਸ਼ੈਲ,
0x1f980	ਕੈਂਸਰ,
0x1f990	ਸ਼ੈਲਫਿਸ਼,
0x1f98b	ਤਿੱਤਲੀ,ਕੀਟ,ਪਰੈਟੀ,
0x1f41d	ਮਧੁ ਮਕ੍ਖੀ,
0x1f578	ਮੱਕਡ਼ੀ,ਵੈਬ,
0x1f340	ਚਾਰ,
0x1f347	ਅੰਗੂਰ,
0x1f345	ਸਬਜ਼ੀ,
0x1f346	ਬੈਂਗਣ,
0x1f955	ਗਾਜਰ,
0x1f33d	ਮਕਈ,ਮੱਕੀ,
0x1f952	ਖੀਰਾ,
0x1f95c	ਗਿਰੀ,
0x1f35e	ਰੋਟੀ,
0x1f956	ਬਾਗੇਤ,
0x1f959	ਫ਼ਲਾਫ਼ਲ,ਕਬਾਬ,
0x1f95a	ਆਂਡਾ,
0x1f373	ਤਲਨਾ,pan,
0x1f958	ਓਛਾ,
0x1f372	ਗਮਲਾ,ਸਟੂਅ,
0x1f957	ਸਲਾਦ,
0x1f37f	ਪੋਪਕੋਰਨ,
0x1f35b	ਕੜ੍ਹੀ,
0x1f35c	ਕਟੋਰੀ,ਨੂਡਲ,ਰਾਮੇਨ,
0x1f362	ਸੋਟੀ,
0x1f363	ਸੂਸ਼ੀ,
0x1f36e	ਮਿਠਿਆਈ,
0x1f36f	ਸ਼ਹਿਦ,
0x1f375	ਕਾਸਾ,
0x1f943	ਗਲਾਸ,
0x1f944	ਚਮਚਾ,
0x1f3fa	ਜਗ,
0x1f30f	ਏਸ਼ੀਆ,ਆਸਟ੍ਰੇਲੀਆ,
0x1f5fa	ਨਕਸ਼ਾ,
0x1f3dd	ਟਾਪੂ,
0x1f3e3	ਅਸਾਮੀ,
0x1f3ea	ਗੁਦਾਮ,
0x1f3ec	ਮਹਿਕਮਾ,
0x1f5fc	ਟਾਵਰ,
0x1f5fd	ਆਜ਼ਾਦੀ,मूति,
0x1f54d	ਮੰਦਰ,
0x1f301	ਧੁੰਦ,
0x1f3a0	ਹਿੰਡੋਲਾ,
0x1f3a1	ਚੱਕਾ,
0x1f3a2	ਰੇੜੂ,
0x1f3aa	ਸਰਕਸ,ਟੇੰਟ,
0x1f5bc	ਚੌਖਟਾ,
0x1f3b0	ਛਿਦ੍ਦਰ,
0x1f682	ਭਾਫ,ਗੱਡੀ,
