0x1f615	परेशान,क्या,भ्रूभंग,बद नज़र,भौह चढ़ाना,
0x1f446	बैकहैंड,उंगली,हाथ,सूची,बिंदु,ऊपर,
0x1f342	गिर रहा है,गिरनेवाला,पत्ता,
0x1f33b	सूर्यमुखी,
0x1f496	चमकना,टिमटिमाहट,संजोना,
0x1f608	सींग,बावजूद,दुष्ट,
0x1f33c	ब्रह्माण्ड,जवान,
0x1f382	जन्मदिन,केक,पेस्ट्री,
0x1f49c	बैंगनी,बहादुर,
0x1f629	उबाऊ,उदास,थका,
0x1f33f	पत्ता,पत्ते,जड़ी-बूटी,
0x1f648	दुष्ट,वर्जित,इशारा,बंदर,नहीं,निषिद्ध,देखना,अंधा,छिपाना,
0x2614	गिरना,
0x1f31f	चमकता हुआ,चमक,प्रकट होना,शुक्र,वीनस,चमक,चमकना,सूचना,
0x1f33e	कान,दाना,चावल,जई,उपज,खेत,जौ,गेहूँ,
0x1f4aa	द्विशिर पेशी,झुकाना,पेशी,शक्ति,
0x1f499	जमा हुआ,
0x1f389	औषधि रखने का बर्त्न,बधाई देना,धूमधाम,
0x1f504	वामावर्त्त,
0x1f646	ओके,अनुमति,हाँ,ओ,
0x1f4a5	विस्फोट,टक्कर,क्रैश,
0x1f49f	आपात काल,
0x1f62b	थका,कराहना,अत्याचार,यंत्रणा,उदास,कराह,थकाऊ,भयानक,
0x1f493	पिटाई,धड़कन,फड़कना,धड़कना,ज़बरदस्त,धड़कते,
0x26a1	बिजली,बिजली,बिजली,वोल्टेज,गाली मार देना,बिजली,चिंगारी,पिकाचु,बिजली,गरज,
0x1f344	कुकुरमुत्ता,
0x1f49d	फीता,वेलेंटाइन,प्रेमी,उपहार,वर्तमान,
0x1f416	बीज बोना,
0x1f34b	साइट्रस,
0x1f640	अरे,
0x1f497	प्रगतिशील,दाल,पाउंड,लगाव,
0x1f4e3	उत्साह बढ़ाना,
0x1f64a	बोलना,चुपचाप,खामोशी,शांतिपूर्वक,
0x1f38b	बैनर,
0x1f624	विजय,जीत लिया,वॉन,शर्म,परेशान,
0x1f340	४,तिपतिया घास,चार,
0x1f514	घंटा,अलार्म,खनक,
0x1f388	उठना,
0x1f427	पेंगुइन,
0x1f634	आलस्यपूर्ण,झपकी,सोना,
0x2796	गणित,घटाव,घटाना,नदी,कोई नहीं,
0x26ab	वृत्त,ज्यामितीय,
0x2b50	नक्षत्र-मछली जिसके पंख सितारों की तरह होते है,
0x1f62a	सोना,आलसी होना,खर्राटा,झपकी लेना,निद्रालु,सुस्त,खर्राटा लेना,
0x2757	विस्मयादिबोधक,निशान,अंक,चिह्न,विराम चिह्न,
0x1f4a6	घबरा देना,
0x1f647	क्षमा,धनुष,झुकना,विचार,
0x1f36b	मधुशाला,चॉकलेट,
0x1f46c	जैमिनी,जुड़वाँ,लोग,समलैंगिक,
0x1f436	कुत्ता,पालतू पशु,लोमड़ी,
0x1f628	डर,भयभीत,डर,गंदा,
0x1f478	रानी,राजकुमारी,
0x1f632	आश्चर्यचकित,स्तबध होना,पूरी तरह से,
0x1f407	खरगोश,पालतू पशु,
0x26bd	फ़ुटबाल,फ़ुटबॉल,फीफा,
0x1f440	आँखें खुली हुई,आँख,आँख की पुतली,
0x1f4f2	प्राप्त करना,
0x1f3b5	संगीत,नोट,
0x1f48b	होंठ,प्रलोभन,
0x1f3c6	इनाम,ट्रॉफी,जीतना,
0x1f46b	जोडा,पकड़ना,
0x1f616	चकित,लज्जित,हक्का-बक्का करना,भयंकर,
0x1f479	जीव,दैत्य,घुमाना,चक्कर देना,सनकी,अजीब,शैतान बौना,डरावना,पक्षियों को डराने का पुतला,
0x2652	धारक,पानी,राशिचक्र,
0x1f385	क्रिसमस,पिता,
0x1f465	अर्ध-प्रतिमा,छायाचित्र,
0x1f47b	जीव,चेहरा,परी कथा,कल्पना,दैत्य,
0x1f38a	कन्फ़ेटी,लौकी,
0x1f3b6	संगीत,नोट,
0x1f52b	बंदूक,तमंचा,खटास,झंकार,कडा स्वाद,चोदना,गोली चलाना,पिस्तौल,अपराधी,अधिक,
0x1f469	औरत,महिला,
0x2693	पोत,बंदरगाह,लंगर,
0x1f498	तीर,बाण,कामदेव,एरोस,
0x1f501	दोहराना,
0x1f4b5	नोट,बिल,मुद्रा,वेतन,गुच्छा,ठूंस ठूंसकर भरना,
0x26c5	गंदगी,
0x27bf	घूँघराले,दोहरा,फंदा,
0x1f61a	बंद,पत्थर फेंकना,चुगना,संकोच,
0x1f412	बंदर,
0x1f4a3	विस्फोटक,उछाल,बम,
0x1f531	चिह्न,त्रिशूल,
0x1f42f	चेहरा,बाघ,
0x1f49a	हरा,शिष्टाचार,
0x1f481	मदद करना,जानकारी,यहाँ,वेट्रेस,दासी,
0x231a	घड़ी,
0x1f630	नीला,परेशान,बेचैन,
0x1f635	चक्कर,उन्मत्त,अस्थिर,
0x1f333	झड़नेवाला,पेड़,जंगल,
0x1f534	वृत्त,ज्यामितीय,लाल,
0x1f3bc	संगीत,स्कोर,हिसाब,नोट,
0x1f63b	पागल,
0x1f451	राजा,सोना,मध्यकालीन,मुकुट,
0x1f410	मकर,
0x25fd	ज्यामितीय,वर्गाकार,
0x1f3a4	कराओके,गायक,माइक,गाना,
0x1f47f	राक्षस,शैतान,छोटा प्रेत या पिशाच,भयंकर,उग्र,
0x1f492	चैपल,रोमांस,
0x1f63a	बिल्ली,चेहरा,मुँह,खोलना,मुस्कान,
0x1f405	बाघ,
0x1f3aa	सर्कस,ख़ैमा,
0x1f3a5	कैमरा,सिनेमा,चलचित्र,चल-चित्रण,
0x1f31a	ईट,
0x23f0	अलार्म,घड़ी,
0x1f334	नारियल,
0x1f4dd	पेन्सिल,
0x1f47c	स्वर्ग दूत समान,
0x1f442	शरीर,
0x1f45f	हट्टा-कट्टा,जूता,छिपकर जानेवाला,जूता,जूता,जूते,
0x1f649	सुनना,ऊँचे स्वर से,खोज करना,आविष्कृत,अश्राव्य,शोर,
0x1f1f0,0x1f1f7	कोरिया,
0x1f470	दुल्हन,घूंघट,विवाह,विवाह,
0x1f413	मुर्ग़ा,
0x1f332	पेड़,
0x1f384	क्रिसमस,उत्सव,पेड़,
0x1f52a	उपकरण,हथियार,प्रधान रसोइया,मारना,
0x1f46e	पुलिस,अधिकारी,पुलिस,गश्त,सिपाही,कान्स्टेबल,
0x1f4e2	दूर तक शब्द ले जाने का एक प्रकार का यंत्र,
0x1f44b	तरंग,लहरात हुआ,अलविदा,
0x1f4af	पूर्ण,सौ,परीक्षा,ग्रेड,श्रेणी,
0x1f4ab	तारा,क्रमावर्तन,अचेत कर देना,
0x1f40d	धारक,साँप,
0x2755	सावधानी,
0x1f619	सीटी,झटका,
0x1f475	पुराना,औरत,
0x1f516	निशान,अंक,चिह्न,
0x1f473	पगड़ी,इस्लाम,इस्लाम का जानकार,
0x1f4a7	ठंडा,हास्य,गिरना,पसीना,
0x23e9	दोहरा,आगे,
0x1f697	कार,ड्राइव,गाड़ी चलना,
0x1f386	चमक,आतिशबाज़ी,चमकीला,
0x1f4a0	अंदर,
0x1f471	सुनहरा,
0x1f37a	बियर,मग,मुंह,भालू,
0x1f4a9	हास्य,क्षमता,पू,गोली चलाने की आवाज़,खाद,
0x1f467	कन्या राशि,राशिचक्र,लड़की,
0x1f466	लड़का,छोटा,
0x1f50a	आयतन,बोलने वाला,ध्वनि,ध्वनिक्षेपक,
0x26fd	ईंधन,पम्प,स्टेशन,पेट्रोल,फिर से चार्ज,
0x1f30a	महासागर,सूनामी,
0x1f374	खाना बनाना,काँटा,चाकू,स्टेक,खाना,
0x1f476	शिशु,जवान,शिशु,
0x2648	राम,मेंढ़ा,
0x1f3c7	घोड़ा,घुड़दौड़ का घुड़सवार,दौड़ का घोड़ा,
0x1f3b8	उपकरण,खेल,गिटार,
0x1f6ac	धूम्रपान,सिगरेट,धुआं,सिगरेट,धूम्रपान करना,
0x1f370	कचौड़ी,कैफ़े,
0x1f415	पालतू पशु,
0x26fa	कैम्पिंग,शिविर लगा कर रहना,
0x1f331	जवान,
0x1f53b	नीचे,ज्यामितीय,लाल,
0x1f48e	खजाना,
0x25fe	ज्यामितीय,वर्गाकार,
0x1f303	रात,चन्द्रमा,शहर,
0x1f6ae	कूड़े,गंदे का डोल,कचरा,कचरा,
0x1f445	शरीर,
0x1f6af	वर्जित,कूड़े,नहीं,नहीं,निषिद्ध,
0x1f438	मेंढक,बरसाती,
0x1f464	अर्ध-प्रतिमा,छायाचित्र,प्रोफ़ाइल,रूपरेखा,संदिग्ध व्यक्ति,
0x2795	लाभ,जोड़ का चिह्न,
0x1f539	नीला,हीरा,ज्यामितीय,
0x1f4f1	कोशिका,
0x1f319	वर्धमान,
0x1f37b	झंकार,टोस्ट,चीयर्स,पार्टी,
0x1f308	वर्षा,इन्द्रधनुष,वर्णक्रम,छाता,
0x1f6ab	प्रवेश,नहीं,निषेध,
0x1f30d	अफ़्रीका,यूरोप,धरती,ग्लोब,दुनिया,यूरो,भूमंडलीय,
0x1f34c	केला,
0x1f320	गिर रहा है,गिरनेवाला,निशानेबाज़ी,तेज़,उल्का,विस्तार,
0x1f505	चमक,धीमा,कम,नीच,
0x1f46d	लेस्बियन,
0x1f463	वस्त्र,पदचिन्ह,छापना,एकमात्र,कदम,
0x1f6b4	साइकिल-सवार,
0x1f491	खजूर,
0x1f4d6	किताब,बुकमार्क,पृष्ठ स्मृति,शब्दकोश,
0x1f480	मृत्यु,पत्थर,कंकाल,
0x1f43a	भेड़िया,
0x1f4b0	थैला,डॉलर,बैंक,चुराना,बैंक रोल,बजट,
0x23ec	तीर,बाण,दोहरा,नीचे,
0x1f49b	पीला,सकारात्मक,
0x1f48f	प्रेममय,हम,
0x1f3b9	कीबोर्ड,पियानो,
0x2754	निशान,अंक,चिह्न,विराम चिह्न,प्रश्न,
0x1f63c	व्याजोक्तिरूप,ताने के तौर पर,राइ,ऐंठा,प्रफुल्लता,
0x1f484	सिंगार,लिपस्टिक,
0x1f472	टोपी,आदमी,
0x1f387	अग्निक्रीडा,पटाका,
0x1f304	सवेरा,पर्वत,सूर्य,सूर्योदय,
0x1f460	एड़ी,
0x1f47d	अलौकिक,अज्ञात उड़न-वस्तु,नासा,अंतरिक्ष यात्री,विदेशी,
0x1f3ad	कला,प्रदर्शन,थिएटर,नाटकशाला,थिएटर,नाटकशाला,गुमनाम,
0x1f3ac	ताली बजाने वाला,
0x1f335	पौधा,काँटा,कैक्टस,मरुस्थल,
0x1f1e8,0x1f1f3	चीन,पीआरसी,
0x1f377	शीशा,वाइन,भोजन करना,
0x1f444	होंठ,
0x1f4ba	कुर्सी,
0x2b55	वृत्त,ओ,
0x1f528	उपकरण,
0x1f4c6	कैलेण्डर,
0x1f381	डिब्बा,लपेटा हुआ,पैकेज,
0x1f4de	रिसीवर,
0x1f45e	वस्त्र,आदमी,जूता,
0x1f4cc	पिन,
0x1f38c	जापानी,उत्सव,पार करना,
0x1f300	मरोड़नेवाला,आंधी,तूफान,तूफान,तूफान,चक्रवात,
0x1f4da	अध्ययन करना,
0x1f645	हाथ,कभी नहीं,एक्स,
0x1f486	मालिश,सैलून,
0x1f43b	भालू,चेहरा,
0x1f4e1	ऐंटिना,खाना,उपग्रह,
0x274e	निशान,अंक,चिह्न,वर्गाकार,
0x1f34f	सेब,फल,हरा,
0x1f50c	प्लग,
0x1f50b	बैटरी,
0x1f4d5	किताब,बंद,
0x1f461	चप्पल,
0x1f43c	पाँडा,चीन,
0x1f437	सूअर,चरबीदार,
0x1f3e1	बगीचा,विला,
0x1f3a8	संग्रहालय,चित्रकला,रंगपट्टिका,रंग,चित्रकारी,पेंट,
0x1f63e	बिल्ली,चेहरा,
0x1f35c	कटोरा,नूडल,आकलन,
0x1f3a3	मछली,ध्रुव,
0x1f4fa	टीवी,टेलीविज़न,दूरदर्शन,
0x1f30c	अन्तरिक्ष,आकाशगंगा,
0x27b0	फंदा,
0x1f535	जुर्माना,
0x1f402	वृष,साँड़,
0x1f372	मटका,पात्र,मुरब्बा,खिचड़ी,
0x1f3af	डार्ट,निशाना,
0x1f30f	एशिया,ऑस्ट्रेलिया,
0x1f3ef	दुर्ग,
0x26c4	हिममानव,
0x1f518	रेडियो,
0x1f30e	अमेरिका की,पश्चिम,
0x1f4ae	फूल,
0x1f6b2	बाइक,साइकिल,घुड़सवारी,
0x26ea	ईसाई,
0x1f538	हीरा,ज्यामितीय,नारंगी,
0x1f31d	चमकीला,चेहरा,पूर्ण,चन्द्रमा,
0x26aa	सफ़ेद,बर्फ,हिमपात,
0x1f4f6	ऐंटिना,मधुशाला,कोशिका,मोबाइल,टेलीफ़ोन,संकेत,दूरभाष,
0x1f698	मोटर-गाड़ी,आनेवाला,
0x1f3e0	घर,घर,आराम,
0x1f36a	खाने के बाद मिठाई,मीठा,
0x23ea	उल्टा फिराना,
0x1f3ba	उपकरण,संगीत,
0x1f459	बिकिनी,तैराकी की पोशाक,ग्रीष्म,
0x1f426	चिड़िया,ढेलहरा तोता,तोता,
0x1f424	शिशु,चिड़िया,चूजा,
0x1f63f	बिल्ली,रोना,चेहरा,उदास,आँसू,
0x1f474	आदमी,पुराना,
0x1f195	नया,निर्माता,
0x1f69c	वाहन,
0x1f373	तलना,कड़ाही,
0x231b	रेत,घड़ी,
0x1f4a1	बल्ब,झलक,दीप,
0x1f1ea,0x1f1f8	स्पेन,
0x1f450	हाथ,मजदूर,जनबल,ख़ाली,
0x1f506	चमकीला,चमक,
0x1f51d	तीर,बाण,चोटी,शिखर,ऊपर,
0x1f434	चेहरा,घोड़ा,
0x1f482	रखवाली,
0x1f423	चूजा,अंडा सेना,
0x1f428	भालू,
0x1f4f7	वीडियो,तस्वीर,फ़ोटो,देख रहे,निगरानी करना,तस्वीर,गोली मारने की क्रिया,
0x1f379	मधुशाला,पीना,उष्णकटिबंधी,
0x1f68c	वाहन,
0x1f18e	उदर मांसपेशी,
0x1f418	हाथी,
0x1f55b	१२,घड़ी,बजे,बारह,
0x1f4ac	गुब्बारा,बुलबुला,बातचीत,भाषण,
0x1f404	गाय,
0x1f63d	सीटी बजाना,
0x1f38e	जापानी,गुड़िया,उत्सव,विवाह समारोह,
0x1f4b8	मक्खी,पंख या पक्ष या पर,नष्ट करना,
0x1f305	सवेरा,क्षितिज,सूर्योदय,
0x1f485	ध्यान,श्रृंगार-प्रसाधन,नख-प्रसाधन,कील,चमकाना,
0x1f1e9,0x1f1ea	जर्मनी,
0x1f30b	विस्फोट,
0x2797	विभाजन,भाग,
0x1f52d	विज्ञान,उपकरण,
0x1f64e	इशारा,
0x1f3a9	टोपी,चोटी,शिखर,टोपी,सज्जन,
0x1f35b	करी,
0x1f477	निर्माण,
0x1f3eb	इमारत,
0x1f51e	१८,अठारह,नाबालिग,
0x1f3b7	पत्थर में छेद करने का औजार,
0x1f6a8	प्रकाश,प्रकाश,भोंपू,ख़तरा,गलत,
0x1f393	स्नातक स्तर की पढ़ाई,अकादमी,
0x1f3c1	विचित्र,विचित्र,
0x1f365	ज़ुल्फ़,जल का भँवर,चक्कर खाना,
0x1f36c	खाने के बाद मिठाई,मीठा,
0x1f4ad	विचार,जटिल बनाना,
0x1f64d	उदास,बेदर्द,कठोर,रूखा,उदास करना,खिन्न,महिला या स्त्री,
0x1f403	भैंस,
0x1f4d3	नोटबुक,
0x1f4e9	निवर्तमान,बाहर जाने वाला,भेज दिया,
0x1f406	तेंदुआ,
0x1f443	शरीर,
0x1f34e	सेब,आदिपुरूष,आदम,आइफ़ोन,
0x1f34a	फल,नारंगी,
0x26ce	साँप,
0x1f47a	जीव,चेहरा,परी कथा,कल्पना,दैत्य,
0x1f41c	कीड़ा,
0x1f489	सुई,रोकना,रक्त,इंजेक्शन,
0x1f3ed	इमारत,
0x1f4ce	पेपर क्लिप,
0x1f681	वाहन,
0x1f4a8	पादना,गैस,दौड़ना,
0x1f3f0	यूरोपीयन,
0x1f46f	खरगोश,सेक्सी,ख़रगोश,
0x1f4b3	उधार,
0x1f3e5	डाक्टर,दवा,
0x1f417	सूअर,
0x1f680	रॉकेट,
0x1f347	अंगूर,
0x1f36d	कैन्डी,
0x1f503	घड़ी की सूई के अनुसार,फिर से भरना,
0x1f31c	चेहरा,चन्द्रमा,तिमाही,
0x1f1f7,0x1f1fa	रूस,
0x1f352	चेरी,महंगा,
0x1f408	पालतू पशु,
0x1f689	रेलवे,रेलगाड़ी,
0x1f40c	घोंघा,
0x1f357	हड्डी,मुर्गा,पैर,मुर्गी पालन,मांस,
0x1f4f9	कैमरा,वीडियो,
0x1f4f0	समाचार,
0x1f6be	अलमारी,
0x1f452	वस्त्र,टोपी,औरत,
0x1f51f	दस,१०,
0x1f378	कॉकटेल,मालदीव,
0x1f346	बैंगन,
0x1f431	बाघ,
0x1f517	जोड़ना,
0x1f35f	फ्रेंच,फ्रांसीसी,चिप्स,आलू,
0x1f4bb	पीसी,व्यक्तिगत,
0x1f68a	बिजली से चलने वली बस,ट्रॉली बस,
0x1f48c	पत्र,डाक,
0x1f41a	खोल,शैल,छिलका,कुंडली,सर्पिल,
0x1f351	सतालू,बेटी,
0x1f19a	बनाम,
0x2b1c	ज्यामितीय,वर्गाकार,
0x1f453	चश्मा,
0x1f487	नाई,सुंदरता,बाल काटना,बैठक,स्टाइल,केश-सज्जा,
0x1f552	३,घड़ी,बजे,तीन,
0x1f401	चूहा,
0x1f35e	पावरोटी,
0x1f1ec,0x1f1e7	यू.के. ,इंग्लैण्ड,ब्रिटेन,इंगलैंड,
0x1f699	मनोरंजनात्मक,
0x1f51c	जल्दी,
0x23f3	समय सूचक,
0x1f46a	परिवार,गृहस्थी,परिवार,
0x26d4	प्रवेश,वर्जित,नहीं,नहीं,निषिद्ध,ट्रैफिक,
0x1f4bf	सीडी,कम्प्यूटर,डिस्क,ऑप्टिकल,प्रकाशीय,डीवीडी,बचाना,
0x1f330	पौधा,
0x1f419	ऑक्टोपस,
0x1f53a	ज्यामितीय,लाल,
0x1f41f	मीनराशि,टूना,काँटेदार नाशपाती,मछली,पानी,
0x1f40e	घुड़सवार,अश्वारोही,
0x1f1fa,0x1f1f8	संयुक्त राज्य अमेरिका,अमेरिका,
0x1f40a	घड़ियाल,
0x1f435	चेहरा,बंदर,
0x1f400	चूहा,
0x1f422	टेरापिन,एक प्रकार का कछुवा,कछुआ,कछुआ,
0x1f42e	गाय,
0x1f513	ताला,ताला खोलना,
0x1f3ae	नियंत्रक,
0x1f55a	११,घड़ी,ग्यारह,बजे,
0x1f695	वाहन,
0x1f3bb	उपकरण,संगीत,
0x1f550	१,घड़ी,एक,बजे,
0x1f380	उत्सव,
0x1f4dc	कागज,
0x1f312	वैक्सिंग,मोम लगाना,
0x1f488	ध्रुव,नाई की दुकान,
0x1f5fc	टोक्यो,टावर,
0x1f43e	पैर,पंजा,
0x1f6bd	शौचालय,
0x1f6a6	प्रकाश,संकेत,ट्रैफिक,
0x1f3ca	तैरना,तैराकी,फ्रीस्टाइल,पूल,छोटा तालाब,अवकाश,समुद्र,
0x1f345	सब्ज़ी,
0x1f512	बंद,
0x1f48d	हीरा,आभूषण,अंगूठी,रत्न,सहायक,प्रस्ताव,मणि,
0x1f38f	काप,प्रकाश की किरण,पताका,
0x1f429	कुत्ता,
0x1f511	पासवर्ड,मूल्य,
0x1f3c4	समुद्र की तटीय लहरें पर चलाव,समुद्रतट,
0x1f42b	ऊँट,
0x1f4a4	झपकी,
0x1f353	बेर,स्ट्रॉबेरी,मीठा,
0x1f500	तीर,बाण,
0x1f3c9	गेंद,फ़ुटबाल,रग्बी,
0x1f43d	नाक,
0x1f311	काला,अंधेरा,ग्रहण,
0x1f6b7	वर्जित,नहीं,नहीं,पैदल यात्री,निषिद्ध,
0x1f31b	चेहरा,चन्द्रमा,तिमाही,
0x1f38d	बाँस,चिड़,
0x1f307	दृश्य,चमकना,
0x1f4c3	घूँघराले,दस्तावेज,पृष्ठ,
0x1f52f	भाग्य,तारा,
0x1f411	स्त्री,
0x1f36e	पुडिंग,खाने के बाद फल या मिठाई,
0x1f462	बूट,
0x1f4c8	चार्ट,ग्राफ़,विकास,प्रवृत्ति,ऊपर,
0x1f368	मलाई,खाने के बाद मिठाई,बर्फ़,मीठा,
0x1f4fb	वीडियो,
0x1f3a1	पहिया,चक्र,
0x1f694	कार,आनेवाला,पुलिस,
0x1f691	वाहन,
0x264f	बिच्छू,
0x1f4bc	अटैची,
0x1f510	चाबी,सुरक्षित,सुरक्षा,पास,
0x1f502	एक बार,
0x1f302	वस्त्र,वर्षा,छाता,
0x1f363	सुशी,
0x1f4b9	चार्ट,ग्राफ़,विकास,बाज़ार,प्रवृत्ति,ऊपर,
0x1f35a	पकाया,
0x1f693	कार,गश्त,पुलिस,
0x1f6b9	शौचालय,शौचघर,स्वागत,
0x1f197	ओके,
0x1f6b8	बच्चा,चौराहा,पैदल यात्री,
0x1f51a	अंत,
0x1f3e6	इमारत,
0x1f4d9	किताब,नारंगी,
0x1f4ec	डाक,मेलबॉक्स,खोलना,डाकपेटी,
0x1f48a	कैप्सूल,गोली,नशा,
0x1f684	गति,
0x1f35d	पास्ता,
0x1f4b2	हिरन,
0x1f696	टैक्सी,
0x1f6c0	स्नान,बाथ टब,
0x26f5	नौका,याख़्ट,पाल,
0x1f682	इंजन,रेलवे,भाप,रेलगाड़ी,
0x264c	शेर,
0x1f45a	वस्त्र,औरत,
0x1f356	हड्डी,मांस,
0x1f3ab	प्रवेश,
0x1f33d	मक्का,मक्का,भूल भुलैया,
0x1f414	चिड़िया,मुर्गा,
0x1f685	गोली,
0x1f430	खरगोश,चेहरा,पालतू पशु,ख़रगोश,
0x1f6bf	पानी,
0x1f6a0	केबल,ट्रक,विमान के साथ लगी हुई गाड़ी,
0x1f69d	वाहन,
0x2653	मछली,राशिचक्र,
0x1f425	शिशु,चिड़िया,चूजा,
0x1f4f4	कोशिका,मोबाइल,बंद,दूर,टेलीफ़ोन,दूरभाष,
0x1f40b	व्हेल,
0x1f6a2	यात्री,क्रूज,समुद्री पर्यटन,टाइटैनिक,विशाल,
0x1f50d	खोज,
0x1f376	मधुशाला,पेय पदार्थ,बोतल,प्याला,पीना,
0x1f41e	झींगुर,एक प्रकार का गुबरैला,एक प्रकार का गुबरैला,
0x1f40f	मेष,नर,भेड़,
